replicate,cycle,fluorescence
6,28,6352605.179740764
6,29,11175096.614382368
6,30,19223502.326543868
6,31,31815445.36839235
6,32,49408749.92456501
6,33,69685462.72820018
6,34,86815658.7189909
6,35,96102704.62962411
7,0,59.550029982610525
7,1,46.979148065626454
7,2,45.851633588875764
7,3,62.59923379349985
7,4,56.25216448526347
7,5,61.90179882638226
7,6,78.16651621520852
7,7,82.30403794955149
7,8,93.75445661231467
7,9,127.33963184779321
7,10,169.47470197035517
7,11,247.52342811719063
7,12,391.82114932742473
7,13,644.2225372221043
7,14,1083.2773148508352
7,15,1865.3999044108634
7,16,3289.751893636948
7,17,5915.638607579962
7,18,10516.725742108618
7,19,18891.542814757162
7,20,34010.92227186557
7,21,61433.92162621342
7,22,110947.953011652
7,23,200648.38350727918
7,24,362435.95585906383
7,25,654625.49876409
7,26,1181022.3730101294
7,27,2126507.8309238544
7,28,3813488.6785768475
7,29,6784837.0557152545
7,30,11913705.60678016
7,31,20419655.025291443
7,32,33596552.42594175
7,33,51686469.36253622
7,34,71940957.86658818
7,35,88315455.46682163
8,0,46.99696731317942
8,1,51.91472875827391
8,2,62.679590896213064
8,3,66.51997535186388
8,4,68.1695030332823
8,5,80.1134273227787
8,6,90.38585715963163
8,7,132.57142835856547
8,8,185.35941398424345
8,9,293.9661467128057
8,10,479.58793244496803
8,11,820.8466506530166
8,12,1420.0213881982384
8,13,2530.736253322711
8,14,4497.34609890897
8,15,8044.709592401967
8,16,14443.780249129535
8,17,26069.749770853887
8,18,46920.64193802833
8,19,84854.11220827197
8,20,153355.0052003117
8,21,277178.904318738
8,22,500950.34937208047
8,23,905047.5570232113
8,24,1631794.1867749386
8,25,2933537.5374494833
8,26,5241514.7450262895
8,27,9267893.441165704
8,28,16086941.707785731
8,29,27033088.44702567
8,30,43027634.884669326
8,31,62911927.32186229
8,32,81832359.46175587
8,33,93892206.44647065
8,34,98545960.14210808
8,35,99707560.12480186
9,0,47.53277234423673
9,1,51.49805157472115
9,2,63.34542920954763
9,3,66.75798683930377
9,4,62.194095840065614
9,5,76.11923686312335
9,6,96.40582599157919
9,7,132.69120657701552
9,8,210.33393692188366
9,9,323.9656701871717
9,10,547.2721095188822
9,11,936.3998195617801
9,12,1650.8888359686453
9,13,2896.4256977623136
9,14,5247.371626680125
9,15,9408.045433477788
9,16,17008.042944641722
9,17,30774.796883956926
9,18,55714.77908232098
9,19,100810.3070264311
9,20,182567.49266562038
9,21,330198.5479998476
9,22,597091.5188247004
9,23,1078243.21146832
9,24,1943650.2308638687
9,25,3488601.588410397
9,26,6218208.317968215
9,27,10947990.289413089
9,28,18856422.161109537
9,29,31264330.970358714
9,30,48696910.738296814
9,31,68957657.09040765
9,32,86313023.454008
9,33,95894119.85682979
9,34,99085149.3363292
9,35,99819645.4624582
10,0,53.620429574137205
10,1,52.56839588873175
10,2,48.79023081668923
10,3,51.05011854913328
10,4,63.05932563522045
10,5,65.22820816028351
10,6,74.54547567422986
10,7,102.97586802061211
10,8,139.76031021247456
10,9,221.88642872089503
10,10,356.9072728071839
10,11,611.6588672917826
10,12,1066.3306138816376
10,13,1880.7247836627405
10,14,3378.0953746145424
10,15,6038.868438323511
10,16,10886.927507254455
10,17,19635.987854374805
10,18,35471.134310342495
10,19,64215.74836104415
10,20,116248.99941063121
10,21,210348.79520163368
10,22,380445.99086062366
10,23,687664.2402563589
10,24,1241886.723399486
10,25,2235547.2329396275
10,26,4007001.0443495726
10,27,7127278.6376429545
10,28,12496436.92807157
10,29,21363777.758980945
10,30,34988003.66543193
10,31,53440907.83934049
10,32,73618876.39438546
10,33,89364246.29901485
10,34,97076503.22724758
10,35,99377364.0566107
11,0,49.09681675649869
11,1,55.63515250523749
11,2,58.27085116468355
11,3,54.88362547377204
11,4,67.68678676184172
11,5,72.63618038950905
11,6,86.71515331873734
11,7,99.5960694788269
11,8,148.03126640322796
11,9,216.57403145511012
11,10,322.21819437391787
11,11,554.467481329415
11,12,956.335566595522
11,13,1665.1428801075483
11,14,2924.132701931507
11,15,5260.096201499982
11,16,9435.068647860895
11,17,17090.973155963013
11,18,30857.00012116126
11,19,55724.43641089753
11,20,100870.80579504881
11,21,182408.05570061214
11,22,329863.5252981975
11,23,596123.8364435757
11,24,1076510.1793933304
11,25,1939241.9132624466
11,26,3480938.338063661
11,27,6205531.351452384
11,28,10924772.459297407
11,29,18817395.984716654
11,30,31203826.2818736
11,31,48611177.85042211
11,32,68869342.69990942
11,33,86257992.03905846
11,34,95874706.16420671
11,35,99080821.27298136
12,0,40.74271810883329
12,1,55.06889998335947
12,2,47.879329870441474
12,3,65.42630805809964
12,4,65.0003231953734
12,5,79.1048057826201
12,6,94.21975532442491
12,7,124.37794790332205
12,8,173.65403431456184
12,9,251.22283565842235
12,10,408.32815827993846
12,11,711.4647084909502
12,12,1212.5827924855391
12,13,2133.628682421988
12,14,3775.1179067003095
12,15,6706.665406606515
12,16,12027.45350124233
12,17,21606.861511213483
12,18,38935.02085637342
12,19,70269.45179774641
12,20,126895.78709012322
12,21,229353.90112319717
12,22,414649.3550857527
12,23,748972.9790446354
12,24,1350687.5659194977
12,25,2430153.3000537315
12,26,4350677.3726331545
12,27,7723940.693156065
12,28,13503953.914564576
12,29,22973223.966535058
12,30,37320508.39624038
12,31,56285049.81866124
12,32,76241079.36914593
12,33,90929271.2022532
12,34,97615588.48748308
12,35,99502675.84591949
13,0,55.699727939031526
13,1,56.68343615527944
13,2,54.95168512329373
13,3,61.61857089166696
13,4,60.403951767233764
13,5,68.51667041741601
13,6,90.83090465044944
13,7,121.36655639520318
13,8,162.3920004504239
13,9,255.91609657891792
13,10,439.7654776772611
13,11,723.4361088671162
13,12,1261.369201732194
13,13,2220.8756942627256
13,14,3985.631173103426
13,15,7150.6981309662815
13,16,12796.858232896795
13,17,23047.62972971057
13,18,41652.66234688801
13,19,75302.35585180216
13,20,136180.36527434207
13,21,246665.04318411567
13,22,446389.2130994086
13,23,807089.3527970371
13,24,1455967.3878103544
13,25,2618320.820395475
13,26,4686406.298550805
13,27,8308525.056612406
13,28,14486773.025164183
13,29,24529989.273654055
13,30,39545312.39640967
13,31,58936624.43962036
13,32,78565469.68447553
13,33,92217684.86415693
13,34,98039147.88805903
13,35,99597226.7164308
14,0,59.011359557902004
14,1,49.44699489809876
14,2,60.63486906564816
14,3,70.07962350855027
14,4,56.01609756604498
14,5,74.30254091625184
14,6,83.71187186680535
14,7,107.88020769347776
14,8,149.75003382980412
14,9,220.6903914354456
14,10,346.7417014752712
14,11,573.2220313557576
14,12,969.3429060119485
14,13,1652.584554872832
14,14,2891.1032476115506
14,15,5144.940089427488
14,16,9214.633698378897
14,17,16583.959957353054
14,18,29803.19756926774
14,19,53814.24993955869
14,20,97303.47616876474
14,21,175881.93372113426
14,22,317479.2690426283
14,23,573307.5267211861
14,24,1035395.1542442389
14,25,1865488.808509318
14,26,3348061.2666575527
14,27,5970849.37731218
14,28,10521740.735776968
14,29,18154997.161925703
14,30,30202686.270685676
14,31,47297700.383571126
14,32,67516110.40667549
14,33,85296416.73332086
14,34,95463804.89073229
14,35,98973525.11010209
15,0,51.73611948798081
15,1,66.65533838793702
15,2,58.90077314128588
15,3,53.41634914252871
15,4,60.850006358361775
15,5,77.87114973460865
15,6,86.23766572586396
15,7,97.44567055752131
15,8,131.89892727875235
15,9,201.87266587773814
15,10,299.4237641495902
15,11,517.5131417747054
15,12,886.3790948880527
15,13,1530.826916248092
15,14,2727.1617379824343
